,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,year_drafted
718,503810,J.Smith,2012,Syracuse,180.0,49.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
719,503810,J.Smith,2012,Syracuse,180.0,49.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
723,548149,J.Smith,2013,South Carolina,108.0,14.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
722,548149,J.Smith,2013,South Carolina,108.0,14.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
712,481752,J.Smith,2012,Oklahoma State,408.0,72.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
711,481752,J.Smith,2011,Oklahoma State,710.0,101.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
373,183945,J.Taylor,2009,Purdue,387.0,70.0,2.0,54.0,MIA,DB,22.0,2.0,14.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,3.0,0.5,Boise St.,2013
374,530952,J.Taylor,2013,South Carolina State,45.0,16.0,2.0,54.0,MIA,DB,22.0,2.0,14.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,3.0,0.5,Boise St.,2013
375,545356,J.Taylor,2013,SMU,29.0,2.0,2.0,54.0,MIA,DB,22.0,2.0,14.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,3.0,0.5,Boise St.,2013
376,549960,J.Taylor,2014,NC State,28.0,4.0,2.0,54.0,MIA,DB,22.0,2.0,14.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,3.0,0.5,Boise St.,2013
89,380905,J.Thomas,2011,Florida State,285.0,73.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
88,380905,J.Thomas,2011,Florida State,285.0,73.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
78,170296,J.Thomas,2009,Rice,45.0,28.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
94,483031,J.Thomas,2011,Georgia Tech,29.0,2.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
80,380905,J.Thomas,2009,Florida State,732.0,145.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
93,483031,J.Thomas,2011,Georgia Tech,29.0,2.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
79,170296,J.Thomas,2009,Rice,45.0,28.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
98,503852,J.Thomas,2010,Rutgers,24.0,8.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
86,380905,J.Thomas,2010,Florida State,542.0,96.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
101,531104,J.Thomas,2013,Georgia Tech,233.0,32.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
107,531104,J.Thomas,2014,Georgia Tech,999.0,188.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
102,531104,J.Thomas,2013,Georgia Tech,233.0,32.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
95,483031,J.Thomas,2011,Georgia Tech,29.0,2.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
96,503852,J.Thomas,2010,Rutgers,24.0,8.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
104,531104,J.Thomas,2014,Georgia Tech,999.0,188.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
106,531104,J.Thomas,2014,Georgia Tech,999.0,188.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
97,503852,J.Thomas,2010,Rutgers,24.0,8.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
76,170296,J.Thomas,2009,Rice,45.0,28.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
103,531104,J.Thomas,2013,Georgia Tech,233.0,32.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
77,170296,J.Thomas,2009,Rice,45.0,28.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
